"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
506586,2,57,27,106,0.40669,0.40676,0
478497,1,51,34,100,0.40669,0.40669,0
478565,2,50,35,100,0.40669,0.40672,0
215080,1,7,12,45,0.40669,0.40669,0
215079,2,6,12,45,0.40669,0.40672,0
214740,1,12,7,45,0.40669,0.40669,0
214739,2,11,7,45,0.40669,0.40671,0
225144,1,66,19,47,0.4067,0.4067,0
273909,2,48,36,57,0.4067,0.40674,0
223786,1,19,0,47,0.4067,0.4067,0
214262,2,17,0,45,0.4067,0.40672,0
228340,1,19,66,47,0.4067,0.4067,0
228476,2,17,68,47,0.4067,0.40672,0
237590,1,23,62,49,0.4067,0.4067,0
237658,2,22,63,49,0.4067,0.40672,0
492575,1,53,31,103,0.4067,0.4067,0
487814,2,53,31,102,0.4067,0.40674,0
469246,1,46,38,98,0.4067,0.4067,0
469178,2,47,37,98,0.4067,0.40671,0
469790,1,38,46,98,0.4067,0.4067,0
464961,2,39,45,97,0.4067,0.40671,0
473871,1,48,36,99,0.4067,0.4067,0
473803,2,49,35,99,0.4067,0.40671,0
474687,1,36,48,99,0.4067,0.4067,0
469858,2,37,47,98,0.4067,0.40671,0
256225,1,28,56,53,0.4067,0.4067,0
256157,2,29,55,53,0.4067,0.40673,0
239698,1,61,23,50,0.4067,0.4067,0
234870,2,63,22,49,0.4067,0.40672,0
242282,1,23,61,50,0.4067,0.4067,0
242214,2,24,60,50,0.4067,0.40672,0
464622,1,45,40,97,0.4067,0.4067,0
464553,2,45,39,97,0.4067,0.40671,0
464962,1,40,45,97,0.4067,0.4067,0
464893,2,40,44,97,0.4067,0.40671,0
224941,1,1,17,47,0.4067,0.4067,0
220112,2,2,16,46,0.4067,0.40672,0
225007,1,67,17,47,0.4067,0.4067,0
225075,2,66,18,47,0.4067,0.40671,0
223853,1,17,1,47,0.4067,0.4067,0
223785,2,18,0,47,0.4067,0.40671,0
228407,1,17,67,47,0.4067,0.4067,0
228339,2,18,66,47,0.4067,0.40671,0
219976,1,4,14,46,0.4067,0.4067,0
219977,2,5,14,46,0.4067,0.40672,0
219296,1,14,4,46,0.4067,0.4067,0
219365,2,14,5,46,0.4067,0.40672,0
230041,1,64,21,48,0.4067,0.4067,0
229973,2,65,20,48,0.4067,0.40672,0
232965,1,21,64,48,0.4067,0.4067,0
233033,2,20,65,48,0.4067,0.40672,0
268944,1,51,33,56,0.4067,0.4067,0
264116,2,53,32,55,0.4067,0.40673,0
270168,1,33,51,56,0.4067,0.4067,0
270100,2,34,50,56,0.4067,0.40674,0
215012,1,8,11,45,0.4067,0.4067,0
215011,2,7,11,45,0.4067,0.40671,0
214808,1,11,8,45,0.4067,0.4067,0
214807,2,10,8,45,0.4067,0.40671,0
249561,1,57,28,52,0.4067,0.4067,0
249493,2,58,27,52,0.4067,0.40673,0
251533,1,28,57,52,0.4067,0.4067,0
251601,2,27,58,52,0.4067,0.40673,0
487882,1,52,32,102,0.4067,0.4067,0
483121,2,52,32,101,0.4067,0.40673,0
214944,1,9,10,45,0.4067,0.4067,0
214943,2,8,10,45,0.4067,0.40671,0
214876,1,10,9,45,0.4067,0.4067,0
214875,2,9,9,45,0.4067,0.40671,0
220113,1,3,16,46,0.4067,0.4067,0
